user_name,user_name_href,user_self_content,user_self_zhuanfa_num,user_self_pl_num,user_self_like_num,user_post_datetime,user_post_href,score,label
小黄会有狗的,https://weibo.com/7390435826?refer_flag=1001030103_,救命  我为什么要大晚上点开日本排放核污水这个tag  被吓到睡意全无  我只想自然死亡   核污水经过海洋空气循环  所有人都逃不掉DNA突变  畸形  放射性致癌  血液病  救命? ?,1,2,13,07月21日 00:00,https://weibo.com/7165037481/NaNEgi3Yo?refer_flag=1001030103_,0.100875163,negative
深海小天,https://weibo.com/1112928761?refer_flag=1001030103_,日媒称限制日本水产将让中国餐厅经营困难，要求取消限制日本媒体在19日报道，中国在今个月开始，对日本进口水产进入全面的辐射检测，令进口时间大幅增长。该媒体访问一间在北京开店的日本料理负责人，负责人指：「就如海胆一样吧，三日就会融化了。因此在完成通关都用不了，这对整个业界都有影响。」 ?  展开c,63,239,1926,07月21日 00:00,https://weibo.com/1112928761/NaNkQajx5?refer_flag=1001030103_,0.890068551,positive
ACC弥,https://weibo.com/6470898961?refer_flag=1001030103_,#日本核污水57天将污染半个太平洋# ?,0,0,0,07月21日 00:11,https://weibo.com/7165037481/NaNEgi3Yo?refer_flag=1001030103_,0.001882167,negative
风流别致,https://weibo.com/5593829059?refer_flag=1001030103_,晴天公考@晴天姑姑66 今天晚上学了120速算，错3减法背了一篇申论，磕磕绊绊没默写完，明天得补完整做了作业四，一边做题一边逼着自己一笔一划不要连笔真的好痛苦QAQ又空了一天数量，救大命明天晚上安排是120速算数量2-3天量上课背申论，补完整今天的残缺部分????? ?  展开c,0,0,1,07月21日 00:25,https://weibo.com/7165037481/NaNEgi3Yo?refer_flag=1001030103_,0.799108093,positive
傅姓氏名,https://weibo.com/7532133076?refer_flag=1001030103_,#致这个动荡的世界##日本核污水##世界环境日##强烈抵制日本核污水入海# 日本生可乐，虽然不知道这为什么要把日本核污水称作生可乐，不过我觉得这挺形象且十分幽默。对了，我有一点是错了。日本的核水不是核废水，是核污水。核污水是被核废料污染的水，而核废水是经过循环净化的正常水，是可排放的。 ?  展开c,0,0,13,07月21日 00:34,https://weibo.com/7165037481/NaNEgi3Yo?refer_flag=1001030103_,0.778202934,positive
想喝_冻柠茶,https://weibo.com/7282064375?refer_flag=1001030103_,小日子还排放核污水，大晚上被这个bgm吓怕了#bilibili# 柚子木字幕组的视频O【Dark5】5张切诺尔贝利核电站的噩梦照片 @柚子木字幕组 ?,0,0,2,07月21日 00:38,https://weibo.com/7165037481/NaNEgi3Yo?refer_flag=1001030103_,0.471205905,neutral
zhaolian1017,https://weibo.com/5598516739?refer_flag=1001030103_,#地球连续35年收到神秘规律性信号#比起这个，我更关心核污水排放问题，世界不能没有海洋，但可以没有日本 ?,0,1,8,07月21日 00:43,https://weibo.com/7165037481/NaNEgi3Yo?refer_flag=1001030103_,0.99699398,positive
惑了又惑,https://weibo.com/7165037481?refer_flag=1001030103_,日本核污水排海遗害无穷。,0,0,263,07月21日 00:48,https://weibo.com/7165037481/NaNEgi3Yo?refer_flag=1001030103_,0.598382017,neutral
JLJL你在家吗,https://weibo.com/2131562117?refer_flag=1001030103_,记得日本科技发达，环保理念超前。既然如此，水资源本就紧缺的岛国，为什么不再次利用这些核污水了：浇花、种地、二类水都可以用啊。排海干嘛了？,0,0,41564,07月21日 00:58,https://weibo.com/7836345706/NaNTeb2DR?refer_flag=1001030103_,0.956431183,positive
别讲别讲,https://weibo.com/6090553809?refer_flag=1001030103_,#核污水#坚决抵制日本核污水排放！ ?,0,0,8,07月21日 01:01,https://weibo.com/7836345706/NaNTeb2DR?refer_flag=1001030103_,0.027713629,negative
